scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,fallback_used,fallback_reason,runtime_seconds,ppo_train_time,solver_status
small,0,1.00_0.00,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,1523.3888989999998,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,3.899913281202316e-06,,
small,0,1.00_0.00,GA,1523.3888989999998,7.043549648846332,1.0,1.0,1523.3888989999998,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,2.8658836000831798,,
small,0,1.00_0.00,PPO,1315.9827129999999,6.005945456190973,0.8638521088501119,0.8526873175622026,1315.9827129999999,0.8638521088501119,0.8638521088501119,1523.3888989999998,7.043549648846332,100.0,1033.0259999999998,182.95671299999998,1.9148904561909719,0.0,4.091055000000001,0.0,True,0,False,,0.3326472999760881,9.87582850002218,
small,0,1.00_0.00,MILP,1268.090677,5.414060541309027,0.8324142822836732,0.7686551257853063,1268.090677,0.8324142822836732,0.8324142822836732,1523.3888989999998,7.043549648846332,150.0,927.018,191.07267699999994,1.1235659426109865,0.19943959869803998,4.091055000000001,0.0,True,0,False,,14.67451349995099,,optimal
small,0,0.75_0.25,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,1144.3025616622115,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,3.400025889277458e-06,,
small,0,0.75_0.25,GA,1523.3888989999998,7.043549648846332,1.0,1.0,1144.3025616622115,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,2.873792300000787,,
small,0,0.75_0.25,PPO,1331.669713,5.474848022203405,0.874149545053236,0.777285359676585,1000.1209967555508,0.8499334987090733,0.8499334987090733,1523.3888989999998,7.043549648846332,100.0,1048.713,182.95671299999998,1.3837930222034047,0.0,4.091055000000001,0.0,True,0,False,,0.34084389999043196,9.87582850002218,
small,0,0.75_0.25,MILP,1268.090677,5.397724048066742,0.8324142822836732,0.7663357706225353,952.4174387620166,0.8158946543683887,0.8158946543683887,1523.3888989999998,7.043549648846332,150.0,927.0179999999999,191.07267699999997,1.107229449368701,0.19943959869803998,4.091055000000001,0.0,True,0,False,,48.10090319998562,,optimal
small,0,0.50_0.50,Heuristic,1523.3888989999998,7.043549648846332,1.0,1.0,765.216224324423,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,False,,7.5999414548277855e-06,,
small,0,0.50_0.50,GA,1523.3888989999998,7.043549648846332,1.0,1.0,765.216224324423,1.0,1.0,1523.3888989999998,7.043549648846332,100.0,1211.1719999999998,212.21689899999996,2.446567637146923,0.505927011699408,4.091055000000001,0.0,True,0,True,ga_infeasible_fallback_to_heuristic,3.3107337000546977,,
